index,rating,isEdited,developerResponse,userName,date,review,title,app_name,app_id,unfair_charge,unresponsive_therapist,bad_therapist
0,1,False,"{'id': 22704782, 'body': 'Hi there, thanks for taking the time to write this review. We are so sorry to hear that you had a less than optimal experience. We would love to look into your experience further and help you right away, please send us an email at Feedback@Talkspace.com and someone from our team will get back to you within one business day. We look forward to making this right for you. ', 'modified': '2021-05-09T16:53:23Z'}",Breeeeeeeeeebreesd,5/6/21 20:10,"My last review got deleted. This app does not provide the service it appears to. Like the other reviews say its not a texting therapy app, you wait for hours and don't get responses. Talk space has a 1 star review on BBB which is pretty safe to say its a scam. Its a shame to profit off of people searching for help is such a dark time. Shame on you talk space. For the amount of money required to sign up vs the product given in return it is clear this is not a good company or app. 

To the customer support team and whoever is reading these reviews I want a refund.",No good,talkspace-therapy-counseling,661829386,1,1,0
1,1,False,"{'id': 27379389, 'body': ""We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-11T17:50:40Z'}",blainerrobbins,1/10/22 9:02,"Just a blank white page after I enter my credentials and log in. Tried the typical troubleshooting routine and made sure iOS and the app are updated. I emailed customer service and messaged my “care team” via the desktop website, and they have either not responded after a number of days, or the person was seemingly even less qualified to answer my own question than I am. 

This service has a ton of promise. Absolutely incredible in concept. Not translating to real-life performance though.",Would write a review if I could even get past the login screen…,cerebral-mental-health,1537193671,0,0,0
2,2,False,"{'id': 16728577, 'body': 'Hi there, thanks for providing this review. We are deeply sorry to hear that you are experiencing delays from your therapist. We understand your disappointment. This is certainly something that we take very seriously and we would love to help you further. Please send your account information over to us at Feedback@Talkspace.com so we can make it up to you! ', 'modified': '2020-07-19T17:02:42Z'}",ALB6461,7/18/20 0:13,You pay a monthly fee up front and it guarantees you a certain number of contacts. I’ve yet to receive any services. My provider missed her reply window 3 times in a row so I’m paying for a essentially a subscription with no benefit. I’m sure they are overwhelmed with clients but they need to stop enrolling people and taking their money if they can’t provide what’s promised. I’m only giving 2 stars because the app is well designed.,No service as promised,talkspace-therapy-counseling,661829386,1,1,0
3,1,False,"{'id': 13613170, 'body': 'Hi there, we are very sorry to hear that this happened. We take this very seriously and would love to look into this further. Please reach out to Feedback@talkspace.com so our clinical quality team can escalate your request. ', 'modified': '2020-02-20T22:09:42Z'}",Pop-eggs,2/19/20 20:04,"Ii used this app, in order to seek help with a sexual assault. 
However, I was dismissed, regularly had to repeat myself, and most importantly, given horrible advice. 
Don’t waster your time or money o this app. 
They have no interest In actually therapeutic advice.",Questionable therapists.,talkspace-therapy-counseling,661829386,0,0,1
4,1,False,"{'id': 27379290, 'body': ""We appreciate you taking the time to share your experience. We're sorry to hear you were not satisfied with our services and would like to take some time to see what we can do to correct the situation. Please reach out to reviews@cerebral.com. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-11T17:46:15Z'}",ajp15487,12/21/21 17:50,"I’ve had a laundry list of issues. 
- insurance shows covered in my cerebral account but the company bills 100% to my credit card. Several support tickets have been opened and they will not acknowledge the issue. 
- unable to schedule with prescriber for months on end. Availability in app does not match prescriber availability, but you’re not allowed to contact them directly to clean that up. 
- 4 months in and still no mail order prescriptions after being told the order has been submitted several times.

Tl;dr you might end up in an emergency room for a medication bridge until your next appointment that may be weeks away.",Nothing like advertised,cerebral-mental-health,1537193671,1,1,0
5,1,False,"{'id': 19906327, 'body': 'Thank you for your feedback. We do our best to keep a useful set of tools free for users who are unable to subscribe, but ultimately, our subscription prices allow us to continue growing the AI capabilities and tools. Feel free to send any questions or feedback to youper.ai/support', 'modified': '2020-12-21T14:50:11Z'}",Carlypizza,12/20/20 8:21,I had downloaded this app over a year ago when I was going through a hard time in my life. This app really helped me work through issues and better my mental well-being. As a college student it was so refreshing to find such a good resource that didn’t add to my financial stress. I just logged into Youper to do my mental health check-in and found that the practically all of the resource that I had relied upon to help me I now had to have a subscription for! Needless to say I am very disappointed! I would have much rather dealt with ads and still had this app a resource to me but oh well.,Used to be a great free resource,youper-online-therapy,1060691513,0,0,0
6,1,False,"{'id': 23843741, 'body': 'Hi, Thank you for taking the time to share your experience. I am sorry that you have had difficulty with the cancellation process. I am sure this can be frustrating, and I apologize for this experience as well as any confusion in our pricing structure. I would like the opportunity to mend the situation and help repair your trust in Cerebral. Please reach out to me at (415)403-2156 or support@getcerebral.com and ask for me directly. I look forward to assisting you however I can. Kind regards, Stefanie H. Cerebral Coordinator', 'modified': '2021-07-09T14:02:19Z'}",EmAydenAlexis,7/8/21 0:21,"I signed up and cancelled less than 24 hours later when I realized how much the future months would be, and you all refused to refund my $130 I literally spent on nothing. I did not speak to a therapist or anyone. If I’m not refunded I’m going to take it to social media.",Awful,cerebral-mental-health,1537193671,1,0,0
7,1,False,"{'id': 16875875, 'body': 'Hi there, thanks for providing this detailed review of your experience. We are so sorry to hear that you had a disappointing experience, we can understand your frustration. We would love to look into this further as this definitely does not sound like our standard. This feedback is very valuable to us and we would love to look into your experience further, please send your account information over to us at Feedback@Talkspace.com. We look forward to speaking with you soon and making this right. ', 'modified': '2020-07-26T14:37:13Z'}",Alexmiotti,7/22/20 17:08,"This was a pretty miserable experience. My therapist sent me one text a day, asking for clarification on things I went into extreme detail about. Then she wouldn’t do anything with the extra information I gave her. She just moved on. I expressed frustration, but she made it seem like it was my fault, so I dropped it.

About two weeks I asked her to hold me accountable with some goals. I figure if she’s only gonna text me once, she can at least check to make sure I’m doing what I want to be doing, but she didn’t. She didn’t check on me for a week. And I really needed help during that week. What could have been a small conversation turned into me staying inside for 4 days.

This past week (our final week together), we’ve mostly been trying to schedule a video call because she has a different schedule than what’s on Talkspace and many in person clients who are clearly the priority. However, we weren’t able to figure it out and now I won’t get to use it. 

Additionally she never talked about making a plan based on what I told her. We never went over any assessments. (Besides her literally reading the results. I know what the answers say I wrote them.) Nor did we talk about the Talkspace program itself. So it looks like there are a lot of really cool features that I missed out on. 

It says you guys use licensed therapists but if you asked me I wouldn’t be able to tell the difference between this program and a kind middle schooler with too much time on their hands.",Very Unprofessional,talkspace-therapy-counseling,661829386,0,0,1
8,1,False,"{'id': 27813900, 'body': ""Hello, We appreciate you taking the time to share your experience with us. We're sorry to hear you were not satisfied with all of our services. As a mental health company, we are wholeheartedly focused on improving the well-being of thousands of individuals who may not have had access to, or the means to afford, quality mental health care. In any event, we would like to take some time to see what we can do to correct the situation. Please reach out to us by email at reviews@cerebral.com directly and please include your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-02-02T21:04:01Z'}",Starryxo,1/31/22 21:21,Worst app I’ve ever used . After 4 days of use they said they could no longer help me after already prescribing me medication for my bipolar disorder and then refused to refund me afterwards bc I “already spoke with the prescriber” for literally 15 minutes . Do not use this app if you are actually looking for help with mental health .,Do not use,cerebral-mental-health,1537193671,1,0,0
9,1,False,"{'id': 23843067, 'body': 'Hi, I want to thank you for taking the time to share your feedback about your experience with Cerebral. It is disappointing to hear that you received less-than-satisfactory care. This is not the standard we hope to set at Cerebral, and I apologize for any difficulties you faced. I would like to take some time to better understand your experience and see if there is anything I can do to help repair your trust in Cerebral. Please feel free to reach out to (415)403-2156 or support@getcerebral.com and ask for me directly. I look forward to hearing from you. Best, Stefanie H. Cerebral Coordinator \n', 'modified': '2021-07-09T13:24:32Z'}",Djexodus80,6/24/21 0:54,"Sorry but there’s no way these guys have five stars, not if they make people with anxiety and depression wait 30 days to receive medication. And why, just so that they cover their own behind and put liability and their financial well being above their patients health?  Avoid you can find a better therapist who will spend more then 30 minutes with you.","Uncaring, money focused",cerebral-mental-health,1537193671,0,0,0
