index,Country,Date,Rating,Review,Version,source,racism,bullying,sexual
63,US,10/09/2019,1,"I'm 19 years old! And I always get messages of weird guys and older men ! They send intense/bulgar/perverted messages ! And I report them, but skout ignores that !! So it's like I report a pervert and they ignore !",3.7.0,skout,0,0,1
82,US,09/24/2019,1,"The App Makes It too Easy For Creeps To Be Creeps, If You’re having a Good Time, all good Vibes and someone less social wants attention they can easily get you blocked or banned. A lot of foreign guys Constantly trying to show off their body parts, Not cool, App staff don’t care at all but will respond with Robots. And the list goes on. Good Luck is all I’m Saying smh.",5.5.2,skout,0,0,1
90,US,09/20/2019,1,The concept of the app is ok. But if you are going to use this app you have to be very careful. The very first person I met on the app tried to get me to send them nudes. After that I tried a few other times and the same thing happened I’ve deleted this app and warn you all to stay safe.,3.36,holla,0,0,1
113,US,09/06/2019,1,The only thing people want on this app is either nudes or your kik,2.6,chat-for-strangers,0,0,1
138,US,08/27/2019,1,I went on there to find new friends but I can’t go 3 matches without finding a creepy 30 year old or finding some guy with his d*** out!!!,3.1.3,holla,0,0,1
247,US,06/24/2019,1,"everywhere perverts.
bad quality video
cannot filter without paying
lame",2.1.9,holla,0,0,1
259,US,06/16/2019,1,"this app on android is much different and rather safer than using on an iphone. you can see the person age, gender, and profile picture before the call rather than not know those things on the iphone. as a female listed on my account, every single one of the video chat requests have been from males and most of them over the age of eighteen, while i am fifteen. both genders would be on call on the android, and i made a friend through this app and she was very nice and unlike the pedophilia of over age males asking for nudes through this app. it’s weird and unsettling and no reason i shouldn’t be able to have a safe and fun time on this app except i’m faced with pervs. do not recommend. :/",3.0.1,holla,0,0,1
470,US,04/06/2019,1,"I put looking for women interested in men in my settings (cause I’m straight) and when I look I find Trans or gay men offering bj’s to straight men in the women section 🙄. It’s gross and inappropriate. You’ll delete a person for saying something crazy on stream but do nothing about them, smh.",6.8.1,skout,0,0,1
524,US,03/20/2019,2,"I don't like how recent pictures are permanently in there if someone goes on my scout and finds it, they will see all my dick pics",4.5.2,skout,0,0,1
604,US,02/23/2019,1,"all this app supports is hate and negativity. You can’t get on this app without being constantly made fun of. I’ve gotten extremely suicidal because of this dumb app. Your asked for nudes 24/7, and get bullied 24/7. I wouldn’t start convos with anyone, and they’d randomly message me calling me fat or ugly or even sometimes both. The app even supports it as they let you do these livestreams called “rates” where other teens pretty much say if your attractive or ugly. If I report someone for bullying they never do anything about it, but yet when I take a break and take down my photos I get my account suspended for having an “anonymous” account. How do you expect people to want to show their true selfs on there when they’re being bullied...",3.3.1,holla,0,1,1
705,US,01/23/2019,1,There are so many guys jacking off,4.2.3,holla,0,0,1
811,US,12/29/2018,1,You say nudity isn’t allowed yet you allow men and women to show their private parts all the time. Need to pay more attention to your client base,5.01.1,skout,0,0,1
842,US,12/23/2018,1,"I went on this and all there was where pervs asking for nudes! Im only 14 and this made me want to stay away from the scary place of the internet! Even if i started to get close to someone they would later ask something like ""hey wanna trade nudes now that we're friends?"" It would be a great app if it had restrictions and plz dont put in a camera because i know some of these pervs will post nudes even to children so yeah overall summary...
•age limit
•message restrictions 
•NO CAMERA!",3.4,chat-for-strangers,0,0,1
931,US,12/06/2018,2,"All the guys just want nudes and are somehow worse than tinder. All the girls ghost you and just want you to add them on Snapchat. Why on earth would I download this app to add you on another platform?? This is a terrible app, not because of its features but because there is zero moderation. Half of the accounts are inactive and if you do get matched with someone they’ll never message you, ever.",3.33,holla,0,0,1
933,US,12/06/2018,1,This app is now full of crappy ppl .. The gals here r total fake I chatted with 6 gals back to back n all turned out to b asking to view their webcam. And pay by registering to a third party site. Scout Plz filter ur users well .. Not even worth putting any time in this app anymore.,4.21.2,skout,0,0,1
22003,US,04/15/2018,1,I paid to talk female and then band me for no reason so I paid again after that happened again this time i did not do nothing wrong no nudity no fight no argue the only thing that says did is talk. The only thing is good is free but is only one thing I hate see dicks anytime I skip not only just see dicks I see all different guys to the old young hardly see female so any people want to talk not this app the only thing I’m going to say is rip off so don’t waste your time on this app go to another app or a website i think I’m done here so don’t get this app so please✌️,4.4.4,holla,,,1
2,US,11/22/2019,1,Get rid of micro transactions or i will find a new app to use. Why should i have to pay for that it’s so stupid,3.8,holla,0,0,0
6,US,11/21/2019,1,This is good but most of my messages never show up. This is very crapy and needs to be fixed,3.3.1,skout,0,0,0
8,US,11/20/2019,1,I was really enjoying this app. This brought me out of the box. I’m an extremely shy person and this gave me somewhere to talk to nice people. I just got kicked of bc I’m 16 not “18” and I think that this change it kind of stupid bc yeah it’s for protection but like someone else said all you have to do is put age preferences like you do for gender not that hard I wish this wasn’t the case or this would have received a 5 star rating bc I really liked this app I would like to re download this app if you can make the change to let me,4.2.1,holla,0,0,0
