index,Country,Date,Rating,Review,Version,source,racism,bullying,sexual
2,US,11/22/2019,1,Get rid of micro transactions or i will find a new app to use. Why should i have to pay for that it’s so stupid,3.8,holla,0.0,0.0,0.0
6,US,11/21/2019,1,This is good but most of my messages never show up. This is very crapy and needs to be fixed,3.3.1,skout,0.0,0.0,0.0
8,US,11/20/2019,1,I was really enjoying this app. This brought me out of the box. I’m an extremely shy person and this gave me somewhere to talk to nice people. I just got kicked of bc I’m 16 not “18” and I think that this change it kind of stupid bc yeah it’s for protection but like someone else said all you have to do is put age preferences like you do for gender not that hard I wish this wasn’t the case or this would have received a 5 star rating bc I really liked this app I would like to re download this app if you can make the change to let me,4.2.1,holla,0.0,0.0,0.0
13,US,11/14/2019,1,It won’t lemme go live or anything like I think you fixed it for everyone but me and now it says I’m banned for no reason I didn’t even do anything,2.9,holla,0.0,0.0,0.0
15,US,11/12/2019,1,No real ppl all fake or no reply,5.8.2,skout,0.0,0.0,0.0
17,US,11/09/2019,2,Can’t join live and can’t scroll through profile and tap on them. Please fix ASAP. Everyone’s having this problem,3.36,holla,0.0,0.0,0.0
19,US,11/09/2019,2,Descent,4.3.0,skout,0.0,0.0,0.0
22,US,11/08/2019,1,Can't even get the app to open...there's no way the app can be any good if they can't even get it to open up without issues,3.1,skout,0.0,0.0,0.0
23,US,11/08/2019,1,Y,3.7.1,skout,0.0,0.0,0.0
24,US,11/07/2019,2,Haven't met a single person on this app yet...,4.0.3,skout,0.0,0.0,0.0
25,US,11/06/2019,1,I was litterally banned for no reason at all,2.83,holla,0.0,0.0,0.0
26,US,11/05/2019,2,please fix it as soon as you can coz its annoying,3.1,skout,0.0,0.0,0.0
27,US,11/05/2019,1,For the past three days the app keeps getting frozen on connecting to stranger when I first go into the app and what happened to the camera option over all they need an update to fix all of the problems and glitches :( hurry,1.5,chat-for-strangers,0.0,0.0,0.0
29,US,11/04/2019,1,This is the most horrible site nothing but scammers it doesn’t even deserve a star,6.9.0,skout,0.0,0.0,0.0
32,US,10/30/2019,2,"Now it's asking me for my phone number and when I enter it, it is not working and I am not able to use it anymore",5.00.2,skout,0.0,0.0,0.0
35,US,10/30/2019,1,F*ck SKOUT WACK!!!,4.4.2,skout,0.0,0.0,0.0
36,US,10/29/2019,1,Crashes too much,3.4.1,skout,0.0,0.0,0.0
39,US,10/28/2019,1,Hate how you have to Verify your human at the beginning of each conversation and yet there's still spammers.,1.9,chat-for-strangers,0.0,0.0,0.0
42,US,10/27/2019,1,It's ok. A bit buggy.,4.0.2,skout,0.0,0.0,0.0
44,US,10/23/2019,1,I kept getting redirected and one of the apps that I got redirected to was this one. It's stupid.,3.2.0,skout,0.0,0.0,0.0
45,US,10/22/2019,1,"Everytime I go to add a friend onto the snapchat once I get to the app where you can click add them after a couple of times that I started adding people it'll pop up on the snapchat app ""oops something went wrong, try again later"" like tf so I try again later and it says it again . Repeatedly time after time I even logged out of the app which caused me to have to reload all the friends .",2.2.1,holla,0.0,0.0,0.0
47,US,10/22/2019,2,It will randomly sign you out.  It won’t mark conversations as read so the notification won’t go away. You have to completely close the app to get chat requests to pop up. There’s a lot of bots on there that ask for bank account info. There needs to be a bot proof sign up process. It really needs an update!,5.8.2,skout,0.0,0.0,0.0
55,US,10/14/2019,2,"Nice app. I'm not sure what bugs they fixed, but I can say that the recent update added a lot more ads.",4.7.1,skout,0.0,0.0,0.0
