url,wine_points,wine_name,wine_desc,taster,price,designation,variety,appellation,winery,alcohol,bottle size,category,importer,date published,user avg rating
https://www.winemag.com/buying-guide/y-rousseau-2016-old-vine-colombard-russian-river-valley/,90.0,Y Rousseau 2016 Old Vine Colombard (Russian River Valley),"Waxy pear flavors ride a lush texture of supportive acidity in this rare white from dry-farmed vines planted more than four decades ago. Food-friendly and light on its feet, it's the perfect picnic wine, ready for charcuterie and cheese.",Virginie Boone,20.0,Old Vine,"Colombard, Other White","Russian River Valley, Sonoma, California, US",Y Rousseau,12.5%,750 ml,White,,8/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/sebastopol-2001-dutton-ranch-morelli-lane-vineyard-chardonnay-sonoma-russian-river-valley/,92.0,Sebastopol 2001 Dutton Ranch Morelli Lane Vineyard Chardonnay (Russian River Valley),"Absolutely delicious, a Chard to ponder, or just to enjoy. Voluptuous flavors of tropical fruits, figs and spiced plums flood the mouth to the edge of sweetness. This wine is well-oaked, with a rich, creamy texture and an enormously long, spicy finish.",,40.0,Dutton Ranch Morelli Lane Vineyard,Chardonnay,"Russian River Valley, Sonoma, California, US",Sebastopol,,750ML,White,,12/31/2004,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/castle-2005-pinot-noir-sonoma-coast/,89.0,Castle 2005 Pinot Noir (Sonoma Coast),"A lovely young Pinot, filled with fresh fruits and spices, wrapped into a fine, silky texture. The flavors of raspberries, cherries and cola have a rich, meaty, leathery edge that adds complexity and earthiness. Good now, and should hold for several years.",,30.0,,Pinot Noir,"Sonoma Coast, Sonoma, California, US",Castle,14.6%,750 ml,Red,,12/31/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/tablas-creek-2014-cotes-de-tablas-red-adelaida-district/,92.0,Tablas Creek 2014 Côtes de Tablas Red (Adelaida District),"Fresh-pressed boysenberry and olallie-berry aromas are lifted by tons of inviting violet florality, garrigue-like potpourri and oak forest underbrush on the nose of this blend of 44% Grenache, 36% Syrah, 12% Counoise and 8% Mourvèdre. Mulberry and black-plum flavors are fruit-forward, enhanced by toasted vanilla bean. A lavender lift carries deep into the finish.",Matt Kettmann,35.0,Côtes de Tablas,Rhône-style Red Blend,"Adelaida District, Central Coast, California, US",Tablas Creek,15%,750 ml,Red,,10/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/mccrea-cellars-2006-cuvee-orleans-shiraz-syrah-syrah-columbia-valley-yakima/,91.0,McCrea Cellars 2006 Cuvée Orleans Syrah (Yakima Valley),"Broadly fruity at first, this turns a little loose-knit, like a Grateful Dead jam. It's compelling but not terribly tight; it meanders into leaf and tea, then chocolate, then back to the light and pretty red fruits.",Paul Gregutt,40.0,Cuvée Orleans,Syrah,"Yakima Valley, Columbia Valley, Washington, US",McCrea Cellars,14.8%,750 ml,Red,,12/31/2011,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/lagar-indra-2012-albarino-rias-baixas/,90.0,Lagar de Indra 2012 Albariño (Rías Baixas),"Minerally lemon and stone-fruit aromas set up a leesy, layered palate with delicious flavors of lemon cake, tangerine and apple. The finish is clear and fairly long, with some creaminess. This is totally uncomplicated and tastes great. For the price you can't ask for much more.",Michael Schachner,14.0,,Albariño,"Rías Baixas, Galicia, Spain",Lagar de Indra,12.5%,750 ml,White,Assa Imports,12/31/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/carmina-nv-brut-prosecco-di-conegliano-e-valdobbiadene-84848/,83.0,Carmina NV Brut  (Prosecco di Conegliano e Valdobbiadene),"The sparkling wine opens with luminous perlage but the nose is a bit thorny and pungent with aromas of almond, peanut and pear that tickle the nose. It has direct citrus flavors and a long mineral finish backed by creamy froth.",,15.0,Brut,"Prosecco, Sparkling","Prosecco di Conegliano e Valdobbiadene, Veneto, Italy",Carmina,12%,750 ml,Sparkling,Villa Italia,8/1/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/domaine-matthias-et-emile-roblin-2016-ammonites-sancerre-301836/,93.0,Domaine Matthias et Emile Roblin 2016 Ammonites  (Sancerre),"Named after the shells that are the basis of the chalk soil of Sancerre, this wine is ripe and full. The aging in large wooden barrels has softened the shock of Sauvignon Blanc, resulting in a citrus and apple-flavored wine that is now ready to drink.",Roger Voss,40.0,Ammonites,Sauvignon Blanc,"Sancerre, Loire Valley, France",Domaine Matthias et Emile Roblin,13%,750 ml,White,Vintage '59 Imports,12/1/2018,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/midnight-2011-zenith-estate-reserve-cuvee-red-paso-robles-willow-creek-district/,91.0,Midnight 2011 Zenith Estate Reserve Cuvée Red (Paso Robles Willow Creek District),"Cedar, black rocks and potting soil contribute complex notes to the woody blueberry fruit on the nose of this blend of 50% Merlot, 25% Cabernet Sauvignon, 13% Malbec and 12% Petit Verdot. Once sipped, a fresh acidity frames dark chocolate, black cherry and oregano, with a roasted-beef component in the midpalate.",Matt Kettmann,70.0,Zenith Estate Reserve Cuvée,Bordeaux-style Red Blend,"Paso Robles Willow Creek District, Central Coast, California, US",Midnight,14.9%,750 ml,Red,,9/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/alphonse-mellot-2007-moussiere-sauvignon-blanc-sancerre/,89.0,Alphonse Mellot 2007 La Moussière  (Sancerre),"The 80-acre Domaine de la Moussière is Alphonse Mellot's principal vineyard in Sancerre. This entry-level cuvée from the vineyard is already sumptuous enough, with fine, concentrated grassy flavors, laced with green apples, kiwi and citrus.",Roger Voss,39.0,La Moussière,Sauvignon Blanc,"Sancerre, Loire Valley, France",Alphonse Mellot,,750 ml,White,Domaine Select Wine & Spirits,9/1/2009,Not rated yet [Add Your Review]
